"Notes"	"Census Region"	"Census Region Code"	"Cause of death"	"Cause of death Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Census Region 1: Northeast"	"CENS-R1"	"Enterocolitis due to Clostridium difficile"	"A04.7"	"2014"	"2014"	1396	56152333	2.5
	"Census Region 1: Northeast"	"CENS-R1"	"Enterocolitis due to Clostridium difficile"	"A04.7"	"2015"	"2015"	1399	56283891	2.5
	"Census Region 1: Northeast"	"CENS-R1"	"Enterocolitis due to Clostridium difficile"	"A04.7"	"2016"	"2016"	1228	56209510	2.2
	"Census Region 1: Northeast"	"CENS-R1"	"Enterocolitis due to Clostridium difficile"	"A04.7"	"2017"	"2017"	1075	56470581	1.9
	"Census Region 1: Northeast"	"CENS-R1"	"Enterocolitis due to Clostridium difficile"	"A04.7"	"2018"	"2018"	986	56111079	1.8
	"Census Region 1: Northeast"	"CENS-R1"	"Other specified bacterial intestinal infections"	"A04.8"	"2014"	"2014"	14	56152333	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Other specified bacterial intestinal infections"	"A04.8"	"2016"	"2016"	17	56209510	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Other specified bacterial intestinal infections"	"A04.8"	"2018"	"2018"	12	56111079	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Viral intestinal infection, unspecified"	"A08.4"	"2014"	"2014"	14	56152333	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Viral intestinal infection, unspecified"	"A08.4"	"2015"	"2015"	21	56283891	0.0
	"Census Region 1: Northeast"	"CENS-R1"	"Viral intestinal infection, unspecified"	"A08.4"	"2017"	"2017"	18	56470581	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Viral intestinal infection, unspecified"	"A08.4"	"2018"	"2018"	12	56111079	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Other and unspecified gastroenteritis and colitis of infectious origin"	"A09.0"	"2014"	"2014"	118	56152333	0.2
	"Census Region 1: Northeast"	"CENS-R1"	"Other and unspecified gastroenteritis and colitis of infectious origin"	"A09.0"	"2015"	"2015"	124	56283891	0.2
	"Census Region 1: Northeast"	"CENS-R1"	"Other and unspecified gastroenteritis and colitis of infectious origin"	"A09.0"	"2016"	"2016"	119	56209510	0.2
	"Census Region 1: Northeast"	"CENS-R1"	"Other and unspecified gastroenteritis and colitis of infectious origin"	"A09.0"	"2017"	"2017"	124	56470581	0.2
	"Census Region 1: Northeast"	"CENS-R1"	"Other and unspecified gastroenteritis and colitis of infectious origin"	"A09.0"	"2018"	"2018"	83	56111079	0.1
	"Census Region 1: Northeast"	"CENS-R1"	"Gastroenteritis and colitis of unspecified origin"	"A09.9"	"2014"	"2014"	445	56152333	0.8
	"Census Region 1: Northeast"	"CENS-R1"	"Gastroenteritis and colitis of unspecified origin"	"A09.9"	"2015"	"2015"	425	56283891	0.8
	"Census Region 1: Northeast"	"CENS-R1"	"Gastroenteritis and colitis of unspecified origin"	"A09.9"	"2016"	"2016"	418	56209510	0.7
	"Census Region 1: Northeast"	"CENS-R1"	"Gastroenteritis and colitis of unspecified origin"	"A09.9"	"2017"	"2017"	389	56470581	0.7
	"Census Region 1: Northeast"	"CENS-R1"	"Gastroenteritis and colitis of unspecified origin"	"A09.9"	"2018"	"2018"	426	56111079	0.8
	"Census Region 1: Northeast"	"CENS-R1"	"Tuberculosis of lung, without mention of bacteriological or histological confirmation"	"A16.2"	"2014"	"2014"	28	56152333	0.0
	"Census Region 1: Northeast"	"CENS-R1"	"Tuberculosis of lung, without mention of bacteriological or histological confirmation"	"A16.2"	"2015"	"2015"	43	56283891	0.1
	"Census Region 1: Northeast"	"CENS-R1"	"Tuberculosis of lung, without mention of bacteriological or histological confirmation"	"A16.2"	"2016"	"2016"	24	56209510	0.0
